,order_id,tip
10,1187899,False
25,1492625,True
49,2196797,True
74,525192,True
78,880375,True
82,1094988,False
88,1822501,True
115,1827621,True
129,2316178,True
200,2180313,False
207,2461523,False
256,1854765,True
277,3402036,False
296,965160,False
395,2614670,False
439,3110252,False
448,62370,False
485,698604,False
557,1524161,False
570,3173750,False
594,2032076,False
611,2803975,True
623,1864787,False
627,2436259,False
652,1947848,True
658,2906490,False
669,2924697,False
678,519514,False
746,1750084,True
778,1647290,False
782,3088145,False
868,39325,False
881,13318,True
923,1651215,True
948,1019719,False
988,2989905,True
999,2639013,False
1014,1072954,True
1021,34647,False
1046,2757217,True
1073,669729,False
1097,3038639,False
1110,2608424,False
1124,482516,False
1158,3294399,False
1178,1700658,False
1186,21708,True
1199,2178718,True
1207,1734166,True
1227,859654,True
1234,2424438,False
1243,2276967,False
1269,613340,False
1297,1855447,False
1305,3081445,False
1326,2222431,True
1398,1318796,False
1414,637547,True
1435,1179185,False
1454,1227088,False
1471,531345,True
1477,3178964,False
1511,1289863,False
1545,2591641,False
1563,926418,True
1569,2364180,False
1577,2298088,False
1581,2549875,False
1605,515014,False
1612,1997693,False
1633,72069,True
1641,3105153,False
1668,3032922,False
1674,1645824,True
1679,2759030,True
1692,2618023,False
1699,878518,False
1711,1438423,False
1739,1248129,True
1743,461193,False
1747,961032,False
1758,2652217,True
1799,1721370,True
1808,2733614,True
1822,1543042,True
1863,1095948,False
1879,2437480,False
1889,2106151,False
1914,2887138,True
1947,3001617,True
1992,455775,False
1997,2233425,False
2074,2560500,True
2125,2696946,True
2140,1993128,True
2148,242208,False
2157,3395341,False
2198,673776,True
2212,318441,False
2220,3348216,False
2268,1575396,False
2425,1897207,False
2434,3294802,True
2458,2133144,False
2479,3123006,False
2506,2564128,True
2517,2608262,False
2538,2742787,False
2568,767489,False
2579,1500681,False
2631,2060922,False
2659,537105,False
2683,1505214,False
2690,2433199,False
2711,3412247,False
2717,1464402,False
2767,1007973,False
2779,3362166,False
2786,2887658,False
2827,475324,True
2845,2715293,False
2868,1308123,True
2874,3155162,False
2880,1962299,False
2949,1458129,False
2974,739987,False
2980,3048264,False
2984,2066158,False
3002,2780124,False
3020,2897229,False
3079,1447810,True
3092,2177938,False
3121,307237,True
3144,1706500,False
3164,1826981,True
3264,3176785,True
3269,2708761,True
3282,3084045,False
3288,2477435,True
3316,3053806,True
3322,75622,False
3352,1131395,False
3359,1841249,False
3393,1902701,False
3410,1848434,True
3505,1789152,True
3555,180627,True
3559,2041929,False
3593,2615515,True
3648,568023,False
3659,382581,False
3663,2499603,False
3791,1179928,True
3853,1016866,False
3859,2941534,True
3865,688931,False
3897,2193979,False
3925,2698993,True
3939,2624849,True
4020,142062,True
4032,524863,False
4048,2298194,True
4052,2727415,False
4069,2008056,False
4088,961500,True
4134,1056167,False
4138,1976038,False
4156,3227316,False
4165,1162736,False
4211,1905437,True
4245,2383385,False
4269,1665716,False
4306,676206,True
4322,985905,False
4332,2662084,False
4352,2014989,True
4465,3411419,False
4522,3059590,True
4557,445784,False
4563,145016,False
4580,3261724,False
4585,78426,False
4589,3529,False
4608,1184332,False
4658,1473392,True
4715,1374681,False
4733,2692535,False
4749,1911431,False
4773,405264,False
4780,208213,False
4796,1979266,False
4845,1546561,False
4927,540284,True
4932,1940141,False
4957,1957838,True
5022,2600069,False
5122,988,True
5243,2956359,True
5249,877974,False
5254,3072356,True
5281,1640076,False
5298,1054904,True
5353,1684761,True
5425,3012300,False
5437,1215744,True
5445,39637,False
5451,2560537,True
5515,1331374,False
5528,3174585,False
5537,1606411,True
5545,2147369,False
5640,1751465,True
5672,3077453,False
5688,1430705,False
5700,281630,True
5717,107908,False
5722,1841063,False
5736,1652713,False
5743,980530,False
5776,563865,False
5784,959285,True
5799,1989223,True
5814,2898937,True
5837,2143540,False
5857,3081810,False
5870,2376514,False
5878,394279,False
5894,2908855,False
5905,15694,False
5930,607923,False
5965,2942881,True
6024,461187,False
6028,174574,False
6041,1682739,False
6117,1412429,False
6125,811612,True
6134,960774,False
6138,1558843,False
6147,2721521,False
6167,2294073,False
6180,2385890,False
6227,14172,False
6237,3206948,False
6247,2057992,False
6252,280751,False
6266,1910258,False
6313,2294856,True
6337,2328904,True
6355,36665,False
6365,3163411,False
6384,445900,False
6446,2950974,False
6457,2534943,True
6462,3014378,False
6495,3159731,True
6502,592291,False
6513,1732187,False
6610,1392440,True
6651,2050098,False
6656,1048290,True
6681,1363964,False
6692,2070379,False
6702,1560176,False
6736,1449813,True
6763,437145,False
6847,1902284,False
6861,1643238,False
6904,1899614,False
6913,2608193,False
6923,539212,False
6976,488785,False
6982,3194530,False
6987,484245,False
7001,1101383,True
7038,2236871,False
7050,2029736,False
7094,1454689,False
7107,2623337,False
7161,113754,False
7175,1848722,False
7215,1110720,True
7237,3244965,False
7313,1439514,True
7327,1881413,True
7382,2769206,False
7397,2908601,False
7402,2212127,True
7441,683205,False
7609,362051,True
7641,3293782,False
7654,2046585,False
7663,2455208,False
7680,2000464,True
7687,417305,False
7692,2010297,False
7704,1739738,True
7763,1714467,False
7780,461914,False
7785,3054083,True
7794,638714,False
7818,1944317,False
7831,1039817,False
7867,1528819,True
7887,659655,False
7898,1439424,False
7924,3101204,True
7958,1290287,False
7965,2479559,True
7973,29983,False
7977,149666,True
7981,1191993,False
7995,1108486,False
7999,3126335,True
8024,1614375,False
8117,863691,False
8137,188500,False
8148,3395420,False
8156,709201,False
8198,54762,False
8207,395479,False
8247,2692766,False
8263,797018,False
8268,707985,False
8272,2298416,False
8278,1011563,False
8298,3241378,False
8397,2831272,True
8403,672357,False
8414,1949670,False
8444,2101076,False
8451,1302095,False
8475,2542317,False
8481,2588977,False
8518,2346527,True
8523,2569637,False
8527,497783,False
8562,229361,True
8617,2337367,True
8647,3363870,True
8652,1409734,False
8657,17906,False
8665,1379536,False
8698,3276697,False
8731,3004135,False
8755,2724968,False
8761,1043105,False
8765,1726118,False
8782,2063685,False
8787,1229133,False
8794,1340939,False
8805,1074772,False
8824,1291650,True
8829,1608919,False
8853,1820107,True
8870,1445911,False
8882,2405239,False
8920,451330,False
8943,1527883,False
8978,2019153,True
8983,3235100,False
9035,3125190,False
9041,3065466,False
9057,2101825,False
9071,3357236,False
9093,241538,True
9104,2178585,False
9108,3158741,False
9115,2379791,True
9122,271797,False
9126,1609767,False
9142,1144354,True
9159,1232929,False
9172,1241717,False
9202,2127621,True
9228,1044486,False
9272,2576004,True
9284,2244404,False
9289,29486,True
9302,3054234,False
9339,2150770,False
9344,530341,False
9362,2918511,True
9368,2713339,False
9376,3263278,False
9449,1816326,False
9490,1859940,True
9498,102931,True
9516,2372949,False
9522,1220744,False
9550,205105,False
9556,3733,False
9587,2857725,True
9598,339577,True
9612,531078,False
9631,1882095,False
9652,3293848,True
9692,2830734,False
9709,2558969,True
9743,437954,True
9754,192822,True
9787,2413078,False
9793,416736,False
9816,2725594,False
9827,821898,False
9922,1017699,True
9930,1933130,False
9994,415087,False
10011,3298943,False
10057,1866656,False
10075,1974079,False
10096,151039,False
10100,2125060,False
10134,2081127,True
10155,2342041,True
10252,428232,True
10262,1224638,False
10267,1549043,False
10313,78051,True
10323,2316417,True
10548,1408873,True
10583,2901230,True
10768,812040,False
10812,1035261,True
10818,3267146,False
10827,219986,False
10846,1600279,False
10858,2376860,True
10881,632715,False
10887,1735653,False
10925,1405257,False
10951,783434,False
10985,1696391,True
10990,143284,False
11014,2810951,False
11082,1204921,False
11182,3327840,False
11205,1379024,False
11217,1842223,False
11232,2524486,True
11236,1063245,False
11275,2643096,False
11281,2451495,False
11324,2154325,False
11333,3002915,False
11378,261370,False
11385,2127707,False
11392,959637,True
11416,1191841,False
11431,1202012,False
11437,1307498,True
11454,1054283,False
11460,2357159,False
11465,219467,False
11481,398828,False
11497,1985172,False
11511,1122780,True
11516,67479,False
11524,944659,True
11528,921692,False
11601,3107150,False
11653,2059831,False
11667,1368829,True
11671,3096583,False
11681,251996,False
11689,3264066,False
11711,1504712,False
11730,2793933,True
11790,1738759,True
11812,1550154,True
11859,1387253,False
11877,1378817,True
11881,1166135,False
11897,275130,False
11945,1436723,True
11959,223389,False
11965,60905,False
11990,1403740,False
12002,553676,False
12012,2726080,False
12016,3205651,True
12023,63770,False
12039,565931,False
12053,3197269,False
12066,2919312,False
12088,64766,True
12094,14287,False
12132,2877517,False
12137,1167274,False
12146,440384,False
12207,2914876,False
12255,1556053,False
12289,2667408,True
12302,2112754,False
12307,2871469,False
12343,49291,True
12352,3116656,False
12356,2248477,False
12383,2110387,True
12433,2354554,False
12460,1971243,False
12465,888267,False
12469,980285,False
12477,2208324,False
12588,90628,True
12633,3070078,False
12645,303762,False
12650,1515554,True
12674,2227916,False
12699,2038177,False
12707,556139,False
12726,670090,True
12755,2513420,True
12777,2558109,False
12783,1553088,False
12798,1181590,False
12814,3347074,False
12819,1089130,False
12859,3056331,False
12881,1941111,False
12951,975061,False
12960,2445,False
13046,1786829,True
13056,2626310,False
13060,917873,True
13064,3067908,True
13093,2331570,False
13126,2943041,False
13153,985778,False
13171,683623,False
13198,2934974,False
13212,2054288,False
13241,874570,True
13268,1504504,True
13278,2391548,False
13294,2932543,False
13331,2802645,True
13354,1537934,False
13359,129013,False
13397,2436377,True
13441,1241668,True
13471,1114234,False
13524,92317,False
13627,3415312,False
13643,265281,False
13648,2322058,False
13695,83856,True
13734,1652829,True
13777,2232869,False
13807,20460,False
13811,692135,False
13834,592557,False
13840,2648197,False
13926,1963578,False
13984,3373111,False
13989,1526056,False
13998,2144171,True
14012,1088647,True
14017,1534424,False
14099,2376580,True
14149,718132,False
14167,2716795,False
14172,26968,False
14185,1604634,False
14189,1666193,False
14211,1305670,True
14234,556180,False
14243,2689040,False
14259,509989,False
14265,2689584,False
14286,3353496,False
14302,846979,False
14315,3271309,False
14417,1393688,False
14449,3036648,False
14502,631808,True
14513,1880459,True
14521,1196150,True
14526,1750098,False
14552,1729675,False
14557,968909,True
14581,979263,True
14591,374322,False
14680,2742119,False
14724,309741,False
14731,1806432,False
14757,3330301,False
14773,2444452,True
14778,1498776,True
14791,757211,False
14795,1148045,False
14808,15213,False
14827,2435106,True
14849,1058952,True
14853,914910,False
14858,700471,False
14894,1261929,True
14927,178268,True
14933,1988586,False
14952,1832849,False
14959,3202163,False
14970,2107544,False
14985,1148938,False
14992,3108576,True
15000,2180302,False
15010,2314737,True
15024,1876414,False
15028,127522,False
15057,1739018,False
15097,3277128,True
15107,951151,True
15116,2136949,False
15132,3339284,False
15136,809820,False
15140,1182819,False
15150,3419642,False
15162,1100805,True
15180,967656,False
15213,2638832,False
15251,3138460,True
15359,1888855,False
15535,244128,False
15594,1288850,True
15613,1080892,False
15638,2109659,False
15687,2073686,True
15694,3202493,False
15731,1441412,False
15745,1826689,True
15775,2188922,False
15829,2555679,False
15843,1759116,False
15850,547273,False
15901,96292,False
15911,3215722,False
15932,2753827,False
15940,411854,False
15948,395208,True
15958,122224,True
15964,910179,True
15986,3289231,False
16011,637980,False
16052,1982039,False
16144,903956,True
16169,1056108,False
16178,1392921,True
16250,252897,False
16259,355501,True
16266,2055364,False
16299,3382300,False
16308,1940438,False
16328,1389513,True
16335,1585569,False
16347,1504831,False
16353,2987108,False
16359,2613422,False
16456,1985010,False
16494,1226914,False
16573,2614856,False
16689,221711,False
16697,1572263,False
16703,827834,False
16751,2143665,True
16782,668770,True
16786,2643636,False
16796,1868918,False
16800,838618,False
16805,1639708,False
16812,1129605,False
16840,3147418,False
16872,2042218,True
16895,406446,True
16902,11052,True
16911,2573243,False
16927,1453822,False
16935,2020589,False
16972,1727267,False
16980,1323382,False
16997,2216237,False
17042,1646879,False
17076,443227,True
17081,2446265,False
17087,3161232,False
17103,2330932,True
17120,2799858,False
17168,1860271,True
17204,2406692,True
17215,3161966,False
17219,2071098,False
17236,295980,False
17250,1758679,False
17305,1510345,True
17324,300459,False
17328,1430544,True
17335,2109825,True
17340,1920482,False
17349,276012,True
17365,1438109,True
17371,1268099,False
17480,3039780,True
17489,393494,False
17498,595633,False
17511,2717227,True
17519,1922310,False
17583,2407138,False
17587,2341197,False
17593,604625,True
17614,1542868,False
17630,1111743,False
17635,526858,False
17641,51155,True
17659,1594212,False
17665,1598697,True
17697,327915,False
17734,2065685,False
17766,387140,False
17776,3135267,False
17792,2597353,False
17800,364097,True
17809,1461756,False
17842,437041,False
17896,1237525,False
17921,356584,False
17926,2999631,False
17930,1527770,False
17975,1081030,False
18056,1650233,True
18082,3409264,False
18090,564594,False
18134,2034086,False
18138,1663465,True
18188,2916351,True
18196,1678834,False
18209,659066,False
18216,1058980,False
18227,3367947,False
18258,2560858,False
18364,541039,False
18376,249702,True
18407,1186686,True
18446,1263386,True
18450,599773,True
18454,304668,False
18458,3392152,False
18462,2237430,True
18478,1725556,True
18536,1476764,True
18542,153579,False
18577,401928,False
18610,1489846,True
18620,796337,False
18665,1570737,False
18756,169422,False
18780,536324,False
18790,1787902,False
18796,3251213,False
18800,530588,False
18814,2479253,False
18831,2085716,True
18871,1123114,False
18927,5743,True
18949,2961500,False
19036,1843281,False
19047,998784,False
19065,1289473,False
19076,1463798,False
19094,472417,True
19098,723753,True
19109,580476,True
19117,2597017,False
19121,3025307,False
19173,1775170,False
19177,3130381,False
19187,856361,False
19288,1345715,True
19339,2085640,False
19344,1488101,False
19413,3335299,False
19460,1410397,False
19467,74399,False
19486,676514,False
19492,2140818,False
19498,2879697,False
19507,1503135,True
19525,2584515,False
19588,3250346,False
19596,1997605,False
19611,2652449,False
19640,2644015,False
19654,3094816,False
19679,164257,True
19695,1819621,False
19722,2561233,True
19727,2375630,False
19744,589930,False
19777,1896032,False
19782,729073,False
19786,692507,False
19790,2705713,False
19845,3184936,False
19864,471256,False
19957,2823840,False
20106,3145497,True
20117,874923,False
20127,201235,False
20186,3080461,False
20199,647535,False
20218,1098556,False
20272,2216089,False
20306,658472,False
20314,3261274,False
20340,3171516,True
20347,935344,False
20357,20440,False
20384,1644890,True
20396,2241245,False
20410,1175646,False
20494,2780794,False
20542,27339,False
20548,1142716,False
20561,1704859,False
20610,46340,True
20630,2551907,True
20638,796037,False
20649,1759648,False
20673,2856374,False
20678,245330,False
20718,1763204,False
20740,3103652,True
20757,1630533,True
20768,1962716,False
20831,1852170,False
20877,2416865,True
20898,2747933,False
20919,396304,True
20923,3077618,False
20929,510280,False
20952,2346976,False
20961,2339119,False
20970,336364,False
20977,1034882,False
20990,566254,False
20994,545704,False
21001,263184,False
21006,332326,True
21012,958796,False
21019,1269882,False
21028,1668533,False
21168,2799734,False
21180,1855656,False
21212,1448561,True
21230,648241,False
21234,1779225,False
21241,722928,False
21267,1008360,True
21285,1664214,True
21303,807060,False
21312,3229441,False
21379,1702096,True
21391,463215,False
21395,1304565,False
21410,1344515,False
21421,2125379,False
21428,917153,False
21452,596220,True
21488,3067161,False
21496,2871086,False
21524,2896211,False
21553,953496,True
21565,829949,False
21653,273406,False
21661,434628,False
21668,2235878,False
21693,1702162,False
21709,215214,False
21796,846363,False
21864,3164697,False
21900,2973176,False
21904,851913,False
21917,179410,False
21938,1728699,False
21964,1652731,False
22001,2334973,False
22081,2034042,True
22163,1471800,False
22167,193067,False
22217,2334410,False
22231,1213223,False
22282,832177,False
22289,1028182,True
22295,1243920,False
22303,1673616,True
22307,2674688,False
22354,3154969,False
22380,2873160,False
22386,633569,False
22405,398048,False
22427,2770748,False
22441,1432666,True
22449,2277161,True
22502,3288985,False
22519,302601,False
22526,1080176,False
22586,2074271,True
22616,2523174,False
22639,1377327,False
22699,2886510,False
22814,165289,False
22822,2609167,True
22895,265283,False
22914,1246060,False
22981,2155203,False
23081,1927184,True
23133,3031079,True
23156,559488,False
23168,3173206,False
23175,3183558,False
23239,3388271,False
23249,1619324,False
23265,875364,True
23282,2244136,False
23305,2912252,False
23329,1308481,True
23334,1506022,False
23341,158280,False
23361,3299516,False
23428,447970,False
23436,3069390,False
23443,3343542,False
23448,1742121,False
23464,633520,True
23469,605667,False
23497,2727200,False
23515,2431218,True
23529,304803,True
23541,484688,True
23550,3369593,False
23590,481964,False
23599,1801417,False
23622,1549331,False
23642,108525,False
23655,1015670,False
23677,1677999,True
23736,3202796,False
23750,269244,False
23776,1090155,True
23795,2395478,True
23820,2225736,True
23858,326537,False
23894,1251668,False
23902,1300165,False
23911,2425574,False
23945,764206,False
23951,3108123,False
23987,615528,False
24020,1634309,True
24025,396595,False
24030,1335062,True
24057,482685,False
24092,1995260,True
24106,1144293,False
24124,1847349,False
24128,1836327,False
24183,2493959,True
24197,1558696,True
24211,2561906,False
24219,1651505,False
24235,143169,False
24283,1484526,True
24317,460882,False
24322,1389833,False
24338,151581,False
24347,1937526,True
24455,220180,False
24459,3418665,False
24465,3047386,True
24483,2306059,True
24532,1115143,False
24560,623937,False
24564,537303,False
24599,1339827,False
24673,2604897,True
24728,2380094,False
24736,461114,False
24765,6695,False
24776,2690545,False
24829,779069,False
24836,1798022,False
24877,3280882,False
24927,2669429,False
25093,2005577,False
25111,2053270,False
25119,1973682,False
25165,2202416,True
25174,540476,False
25187,1708449,False
25195,562359,False
25239,497663,True
25259,317537,True
25397,2305382,False
25410,1829993,False
25414,186342,True
25418,1758197,True
25435,277582,True
25450,1170421,True
25503,3188385,True
25536,512447,True
25547,2016183,False
25555,1954768,False
25583,348734,False
25593,1357424,False
25658,268712,True
25730,1246879,False
25741,774145,False
25750,886214,True
25780,3401644,False
25794,1460376,True
25804,3288870,False
25835,1783688,True
25853,1932859,False
25870,2864672,True
25879,2491974,False
25885,248747,False
25895,1202825,False
25911,629718,False
25942,289472,False
25955,2538136,False
26001,1125090,False
26026,3297423,False
26030,376933,True
26051,431854,False
26068,1500774,False
26142,3050274,False
26154,1639235,False
26211,2416904,False
26241,552695,False
26271,2789450,False
26282,1368225,False
26286,3383671,False
26305,3341496,False
26342,3009052,False
26351,3313010,False
26355,2254592,False
26361,1409183,False
26386,608020,False
26421,1935242,False
26428,1564186,True
26441,2065616,True
26448,3237574,False
26468,2307480,False
26476,1223773,False
26492,1082244,True
26513,3274492,False
26545,1631034,True
26577,2903282,True
26583,1517647,False
26597,2163264,True
26611,500855,False
26623,425334,False
26682,1174747,False
26702,76113,False
26860,1299233,False
26864,822491,False
26873,902420,True
26904,960700,False
26946,1803298,True
26959,2052098,False
26999,1957415,False
27019,1580605,False
27062,2990557,True
27071,2721390,True
27081,3194255,True
27181,2107602,False
27202,1436838,True
27206,1553910,False
27212,2866488,False
27216,3330371,False
27231,14970,False
27237,2834777,False
27246,1298513,False
27255,2760304,True
27311,1553004,False
27370,416516,True
27379,1898012,True
27392,101843,True
27414,2014326,True
27462,1867462,True
27496,1881604,True
27519,2400137,True
27536,2728888,True
27545,2679501,False
27550,1773032,True
27554,1027034,False
27562,163679,True
27583,1917563,False
27626,2640820,False
27694,2449317,True
27715,57889,False
27720,2453652,False
27766,894711,True
27789,1820848,False
27793,3336718,False
27805,3218537,True
27837,3289681,False
27890,317803,False
27901,972022,False
27922,490186,False
27926,1956311,False
27943,910121,True
27948,1999292,False
27963,2359414,False
27969,2684567,False
27997,3162003,True
28015,2312102,False
